,symbol,date,price
123,AMZN,2000-01-01,64.56
124,AMZN,2000-02-01,68.87
125,AMZN,2000-03-01,67.0
126,AMZN,2000-04-01,55.19
127,AMZN,2000-05-01,48.31
128,AMZN,2000-06-01,36.31
129,AMZN,2000-07-01,30.12
130,AMZN,2000-08-01,41.5
131,AMZN,2000-09-01,38.44
132,AMZN,2000-10-01,36.62
133,AMZN,2000-11-01,24.69
134,AMZN,2000-12-01,15.56
135,AMZN,2001-01-01,17.31
136,AMZN,2001-02-01,10.19
137,AMZN,2001-03-01,10.23
138,AMZN,2001-04-01,15.78
139,AMZN,2001-05-01,16.69
140,AMZN,2001-06-01,14.15
141,AMZN,2001-07-01,12.49
142,AMZN,2001-08-01,8.94
143,AMZN,2001-09-01,5.97
144,AMZN,2001-10-01,6.98
145,AMZN,2001-11-01,11.32
146,AMZN,2001-12-01,10.82
147,AMZN,2002-01-01,14.19
148,AMZN,2002-02-01,14.1
149,AMZN,2002-03-01,14.3
150,AMZN,2002-04-01,16.69
151,AMZN,2002-05-01,18.23
152,AMZN,2002-06-01,16.25
153,AMZN,2002-07-01,14.45
154,AMZN,2002-08-01,14.94
155,AMZN,2002-09-01,15.93
156,AMZN,2002-10-01,19.36
157,AMZN,2002-11-01,23.35
158,AMZN,2002-12-01,18.89
159,AMZN,2003-01-01,21.85
160,AMZN,2003-02-01,22.01
161,AMZN,2003-03-01,26.03
162,AMZN,2003-04-01,28.69
163,AMZN,2003-05-01,35.89
164,AMZN,2003-06-01,36.32
165,AMZN,2003-07-01,41.64
166,AMZN,2003-08-01,46.32
167,AMZN,2003-09-01,48.43
168,AMZN,2003-10-01,54.43
169,AMZN,2003-11-01,53.97
170,AMZN,2003-12-01,52.62
171,AMZN,2004-01-01,50.4
172,AMZN,2004-02-01,43.01
173,AMZN,2004-03-01,43.28
174,AMZN,2004-04-01,43.6
175,AMZN,2004-05-01,48.5
176,AMZN,2004-06-01,54.4
177,AMZN,2004-07-01,38.92
178,AMZN,2004-08-01,38.14
179,AMZN,2004-09-01,40.86
180,AMZN,2004-10-01,34.13
181,AMZN,2004-11-01,39.68
182,AMZN,2004-12-01,44.29
183,AMZN,2005-01-01,43.22
184,AMZN,2005-02-01,35.18
185,AMZN,2005-03-01,34.27
186,AMZN,2005-04-01,32.36
187,AMZN,2005-05-01,35.51
188,AMZN,2005-06-01,33.09
189,AMZN,2005-07-01,45.15
190,AMZN,2005-08-01,42.7
191,AMZN,2005-09-01,45.3
192,AMZN,2005-10-01,39.86
193,AMZN,2005-11-01,48.46
194,AMZN,2005-12-01,47.15
195,AMZN,2006-01-01,44.82
196,AMZN,2006-02-01,37.44
197,AMZN,2006-03-01,36.53
198,AMZN,2006-04-01,35.21
199,AMZN,2006-05-01,34.61
200,AMZN,2006-06-01,38.68
201,AMZN,2006-07-01,26.89
202,AMZN,2006-08-01,30.83
203,AMZN,2006-09-01,32.12
204,AMZN,2006-10-01,38.09
205,AMZN,2006-11-01,40.34
206,AMZN,2006-12-01,39.46
207,AMZN,2007-01-01,37.67
208,AMZN,2007-02-01,39.14
209,AMZN,2007-03-01,39.79
210,AMZN,2007-04-01,61.33
211,AMZN,2007-05-01,69.14
212,AMZN,2007-06-01,68.41
213,AMZN,2007-07-01,78.54
214,AMZN,2007-08-01,79.91
215,AMZN,2007-09-01,93.15
216,AMZN,2007-10-01,89.15
217,AMZN,2007-11-01,90.56
218,AMZN,2007-12-01,92.64
219,AMZN,2008-01-01,77.7
220,AMZN,2008-02-01,64.47
221,AMZN,2008-03-01,71.3
222,AMZN,2008-04-01,78.63
223,AMZN,2008-05-01,81.62
224,AMZN,2008-06-01,73.33
225,AMZN,2008-07-01,76.34
226,AMZN,2008-08-01,80.81
227,AMZN,2008-09-01,72.76
228,AMZN,2008-10-01,57.24
229,AMZN,2008-11-01,42.7
230,AMZN,2008-12-01,51.28
231,AMZN,2009-01-01,58.82
232,AMZN,2009-02-01,64.79
233,AMZN,2009-03-01,73.44
234,AMZN,2009-04-01,80.52
235,AMZN,2009-05-01,77.99
236,AMZN,2009-06-01,83.66
237,AMZN,2009-07-01,85.76
238,AMZN,2009-08-01,81.19
239,AMZN,2009-09-01,93.36
240,AMZN,2009-10-01,118.81
241,AMZN,2009-11-01,135.91
242,AMZN,2009-12-01,134.52
243,AMZN,2010-01-01,125.41
244,AMZN,2010-02-01,118.4
245,AMZN,2010-03-01,128.82
