,weekday,hour,count
0,Friday,0,26
1,Friday,1,20
2,Friday,2,15
3,Friday,3,23
4,Friday,4,34
5,Friday,5,46
6,Friday,6,119
7,Friday,7,155
8,Friday,8,125
9,Friday,9,96
10,Friday,10,110
11,Friday,11,106
12,Friday,12,106
13,Friday,13,142
14,Friday,14,156
15,Friday,15,210
16,Friday,16,217
17,Friday,17,260
18,Friday,18,271
19,Friday,19,224
20,Friday,20,167
21,Friday,21,191
22,Friday,22,197
23,Friday,23,173
24,Monday,0,10
25,Monday,1,4
26,Monday,2,5
27,Monday,3,12
28,Monday,4,24
29,Monday,5,45
30,Monday,6,98
31,Monday,7,122
32,Monday,8,90
33,Monday,9,81
34,Monday,10,80
35,Monday,11,79
36,Monday,12,79
37,Monday,13,79
38,Monday,14,106
39,Monday,15,132
40,Monday,16,188
41,Monday,17,238
42,Monday,18,211
43,Monday,19,194
44,Monday,20,128
45,Monday,21,126
46,Monday,22,70
47,Monday,23,29
48,Saturday,0,87
49,Saturday,1,59
50,Saturday,2,32
51,Saturday,3,23
52,Saturday,4,15
53,Saturday,5,20
54,Saturday,6,20
55,Saturday,7,26
56,Saturday,8,34
57,Saturday,9,60
58,Saturday,10,77
59,Saturday,11,84
60,Saturday,12,86
61,Saturday,13,88
62,Saturday,14,102
63,Saturday,15,142
64,Saturday,16,177
65,Saturday,17,175
66,Saturday,18,184
67,Saturday,19,166
68,Saturday,20,155
69,Saturday,21,189
70,Saturday,22,212
71,Saturday,23,183
72,Sunday,0,127
73,Sunday,1,79
74,Sunday,2,41
75,Sunday,3,28
76,Sunday,4,21
77,Sunday,5,14
78,Sunday,6,20
79,Sunday,7,24
80,Sunday,8,45
81,Sunday,9,54
82,Sunday,10,63
83,Sunday,11,97
84,Sunday,12,90
85,Sunday,13,93
86,Sunday,14,104
87,Sunday,15,138
88,Sunday,16,111
89,Sunday,17,101
90,Sunday,18,86
91,Sunday,19,85
92,Sunday,20,57
93,Sunday,21,54
94,Sunday,22,43
95,Sunday,23,28
96,Thursday,0,35
97,Thursday,1,13
98,Thursday,2,16
99,Thursday,3,19
100,Thursday,4,26
101,Thursday,5,54
102,Thursday,6,154
103,Thursday,7,180
104,Thursday,8,157
105,Thursday,9,129
106,Thursday,10,127
107,Thursday,11,155
108,Thursday,12,157
109,Thursday,13,196
110,Thursday,14,186
111,Thursday,15,275
112,Thursday,16,336
113,Thursday,17,351
114,Thursday,18,223
115,Thursday,19,186
116,Thursday,20,214
117,Thursday,21,179
118,Thursday,22,153
119,Thursday,23,74
120,Tuesday,0,29
121,Tuesday,1,6
122,Tuesday,2,11
123,Tuesday,3,16
124,Tuesday,4,27
125,Tuesday,5,63
126,Tuesday,6,132
127,Tuesday,7,185
128,Tuesday,8,154
129,Tuesday,9,109
130,Tuesday,10,141
131,Tuesday,11,147
132,Tuesday,12,137
133,Tuesday,13,154
134,Tuesday,14,158
135,Tuesday,15,210
136,Tuesday,16,282
137,Tuesday,17,298
138,Tuesday,18,237
139,Tuesday,19,254
140,Tuesday,20,261
141,Tuesday,21,226
142,Tuesday,22,132
143,Tuesday,23,56
144,Wednesday,0,26
145,Wednesday,1,14
146,Wednesday,2,10
147,Wednesday,3,20
148,Wednesday,4,33
149,Wednesday,5,55
150,Wednesday,6,158
151,Wednesday,7,193
152,Wednesday,8,158
153,Wednesday,9,133
154,Wednesday,10,139
155,Wednesday,11,144
156,Wednesday,12,154
157,Wednesday,13,161
158,Wednesday,14,186
159,Wednesday,15,245
160,Wednesday,16,312
161,Wednesday,17,345
162,Wednesday,18,246
163,Wednesday,19,218
164,Wednesday,20,205
165,Wednesday,21,204
166,Wednesday,22,138
167,Wednesday,23,65
